日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2020-01-02,3.629,3.658,3.683,3.627,6276236,2603983232.0,1.55,1.47,0.053,2.06
2020-01-03,3.665,3.648,3.671,3.642,4696738,1948030080.0,0.79,-0.27,-0.01,1.54
2020-01-06,3.635,3.632,3.68,3.603,6665048,2760524448.0,2.11,-0.44,-0.016,2.19
2020-01-07,3.643,3.664,3.669,3.637,4649595,1927362288.0,0.88,0.88,0.032,1.52
2020-01-08,3.644,3.623,3.658,3.606,5628521,2321782208.0,1.42,-1.12,-0.041,1.85
2020-01-09,3.647,3.667,3.674,3.643,3944317,1636905840.0,0.86,1.21,0.044,1.29
2020-01-10,3.674,3.666,3.685,3.653,3795550,1576677936.0,0.87,-0.03,-0.001,1.24
2020-01-13,3.665,3.711,3.714,3.65,3736392,1558366384.0,1.75,1.23,0.045,1.23
2020-01-14,3.711,3.693,3.731,3.689,4099628,1723090048.0,1.13,-0.49,-0.018,1.34
2020-01-15,3.693,3.661,3.699,3.654,3196074,1330016016.0,1.22,-0.87,-0.032,1.05
2020-01-16,3.668,3.655,3.672,3.644,4162978,1726422320.0,0.76,-0.16,-0.006,1.37
2020-01-17,3.661,3.66,3.684,3.646,3216274,1335598768.0,1.04,0.14,0.005,1.05
2020-01-20,3.665,3.69,3.692,3.651,3534883,1472153088.0,1.12,0.82,0.03,1.16
2020-01-21,3.672,3.614,3.672,3.609,6182946,2548564528.0,1.71,-2.06,-0.076,2.03
2020-01-22,3.598,3.628,3.642,3.543,9073933,3709564736.0,2.74,0.39,0.014,2.98
2020-01-23,3.59,3.505,3.599,3.465,7535834,3042046032.0,3.69,-3.39,-0.123,2.47
2020-02-03,3.239,3.168,3.245,3.145,14710758,5431562752.0,2.85,-9.61,-0.337,4.82
2020-02-04,3.159,3.279,3.285,3.158,7358437,2749866016.0,4.01,3.5,0.111,2.41
2020-02-05,3.293,3.316,3.364,3.277,5532875,2109910832.0,2.65,1.13,0.037,1.81
2020-02-06,3.332,3.406,3.422,3.306,5279652,2038967056.0,3.5,2.71,0.09,1.73
2020-02-07,3.379,3.397,3.401,3.353,3469891,1340754096.0,1.41,-0.26,-0.009,1.14
2020-02-10,3.377,3.41,3.419,3.36,3985192,1549146624.0,1.74,0.38,0.013,1.31
2020-02-11,3.418,3.452,3.469,3.416,4222588,1663318176.0,1.55,1.23,0.042,1.38
2020-02-12,3.448,3.48,3.486,3.439,2907835,1150842640.0,1.36,0.81,0.028,0.95
2020-02-13,3.479,3.459,3.494,3.447,3259610,1290560944.0,1.35,-0.6,-0.021,1.07
2020-02-14,3.454,3.486,3.504,3.452,3139793,1247221632.0,1.5,0.78,0.027,1.03
2020-02-17,3.495,3.573,3.579,3.495,5811401,2345003456.0,2.41,2.5,0.087,1.91
2020-02-18,3.566,3.548,3.571,3.521,7099510,2867046800.0,1.4,-0.7,-0.025,2.33
2020-02-19,3.545,3.549,3.578,3.538,4403772,1783390976.0,1.13,0.03,0.001,1.44
2020-02-20,3.564,3.64,3.653,3.548,6052411,2472181760.0,2.96,2.56,0.091,1.98
2020-02-21,3.632,3.654,3.687,3.626,4444702,1839049776.0,1.68,0.38,0.014,1.46
2020-02-24,3.632,3.621,3.645,3.591,3727273,1532512768.0,1.48,-0.9,-0.033,1.22
2020-02-25,3.56,3.613,3.625,3.521,6038308,2459159328.0,2.87,-0.22,-0.008,1.98
2020-02-26,3.573,3.579,3.627,3.557,6417934,2617010928.0,1.94,-0.94,-0.034,2.1
2020-02-27,3.592,3.58,3.606,3.57,4753305,1938047424.0,1.01,0.03,0.001,1.56
2020-02-28,3.519,3.442,3.528,3.433,5600710,2224760720.0,2.65,-3.85,-0.138,1.84
2020-03-02,3.457,3.585,3.599,3.457,4266837,1721101328.0,4.13,4.15,0.143,1.4
2020-03-03,3.626,3.582,3.648,3.564,4087761,1677225024.0,2.34,-0.08,-0.003,1.34
2020-03-04,3.574,3.611,3.613,3.557,2954533,1204615728.0,1.56,0.81,0.029,0.97
2020-03-05,3.66,3.709,3.717,3.62,5478313,2282136992.0,2.69,2.71,0.098,1.8
2020-03-06,3.676,3.63,3.678,3.626,2499877,1035853456.0,1.4,-2.13,-0.079,0.82
2020-03-09,3.577,3.499,3.577,3.49,4236424,1701717888.0,2.4,-3.61,-0.131,1.39
2020-03-10,3.501,3.587,3.597,3.452,8596482,3457073168.0,4.14,2.52,0.088,2.82
2020-03-11,3.587,3.52,3.587,3.518,7032694,2845979728.0,1.92,-1.87,-0.067,2.31
2020-03-12,3.482,3.457,3.484,3.428,3881192,1531041360.0,1.59,-1.79,-0.063,1.27
2020-03-13,3.342,3.398,3.439,3.259,7178929,2753021872.0,5.21,-1.71,-0.059,2.35
2020-03-16,3.394,3.235,3.394,3.225,5710801,2168080976.0,4.97,-4.8,-0.163,1.87
2020-03-17,3.268,3.202,3.297,3.124,9852559,3645999360.0,5.35,-1.02,-0.033,3.23
2020-03-18,3.215,3.14,3.272,3.135,7833048,2903199184.0,4.28,-1.94,-0.062,2.57
2020-03-19,3.143,3.105,3.156,3.001,12481638,4456146432.0,4.94,-1.11,-0.035,4.09
2020-03-20,3.121,3.153,3.166,3.091,6786895,2456318768.0,2.42,1.55,0.048,2.23
2020-03-23,3.049,3.035,3.091,3.022,8072781,2858519648.0,2.19,-3.74,-0.118,2.65
2020-03-24,3.098,3.12,3.132,3.045,8328985,2993488752.0,2.87,2.8,0.085,2.73
2020-03-25,3.202,3.215,3.23,3.179,10100836,3732548144.0,1.63,3.04,0.095,3.31
2020-03-26,3.192,3.192,3.231,3.179,3556542,1314493552.0,1.62,-0.72,-0.023,1.17
2020-03-27,3.238,3.209,3.263,3.207,4915443,1829774384.0,1.75,0.53,0.017,1.61
2020-03-30,3.168,3.175,3.194,3.139,4971344,1817215408.0,1.71,-1.06,-0.034,1.63
2020-03-31,3.212,3.178,3.215,3.169,3740030,1377646912.0,1.45,0.09,0.003,1.23
2020-04-01,3.173,3.182,3.232,3.163,3554389,1309936608.0,2.17,0.13,0.004,1.17
2020-04-02,3.167,3.232,3.237,3.15,4630489,1702317216.0,2.73,1.57,0.05,1.52
2020-04-03,3.219,3.206,3.233,3.192,3247170,1202415072.0,1.27,-0.8,-0.026,1.06
2020-04-07,3.269,3.289,3.302,3.267,5467405,2064202704.0,1.09,2.59,0.083,1.79
2020-04-08,3.275,3.274,3.288,3.261,2219175,835369072.0,0.82,-0.46,-0.015,0.73
2020-04-09,3.29,3.285,3.297,3.279,3285436,1241868016.0,0.55,0.34,0.011,1.08
2020-04-10,3.285,3.273,3.321,3.255,4642472,1752635040.0,2.01,-0.37,-0.012,1.52
2020-04-13,3.259,3.252,3.267,3.241,2466969,923357824.0,0.79,-0.64,-0.021,0.81
2020-04-14,3.269,3.314,3.317,3.264,3761248,1423412720.0,1.63,1.91,0.062,1.23
2020-04-15,3.314,3.292,3.323,3.29,2392008,907994640.0,1.0,-0.66,-0.022,0.78
2020-04-16,3.279,3.294,3.306,3.275,2273172,859202032.0,0.94,0.06,0.002,0.75
2020-04-17,3.323,3.328,3.354,3.319,5704809,2183824464.0,1.06,1.03,0.034,1.87
2020-04-20,3.335,3.344,3.345,3.322,3822960,1463235136.0,0.69,0.48,0.016,1.25
2020-04-21,3.329,3.304,3.334,3.279,2927572,1110170608.0,1.64,-1.2,-0.04,0.96
2020-04-22,3.288,3.338,3.339,3.281,3456710,1313936912.0,1.76,1.03,0.034,1.13
2020-04-23,3.341,3.331,3.351,3.321,2015207,771450448.0,0.9,-0.21,-0.007,0.66
2020-04-24,3.316,3.299,3.321,3.287,3058295,1159836784.0,1.02,-0.96,-0.032,1.0
2020-04-27,3.301,3.316,3.342,3.296,3094609,1180911440.0,1.39,0.52,0.017,1.01
2020-04-28,3.329,3.34,3.353,3.265,4228656,1614577808.0,2.65,0.72,0.024,1.39
2020-04-29,3.335,3.36,3.374,3.332,2778349,1069637520.0,1.26,0.6,0.02,0.91
2020-04-30,3.374,3.417,3.425,3.372,5279980,2059990944.0,1.58,1.7,0.057,1.73
2020-05-06,3.374,3.427,3.435,3.369,3834535,1490004480.0,1.93,0.29,0.01,1.26
2020-05-07,3.427,3.42,3.434,3.408,2746388,1073971200.0,0.76,-0.2,-0.007,0.9
2020-05-08,3.438,3.462,3.481,3.436,3706743,1464209056.0,1.32,1.23,0.042,1.22
2020-05-11,3.468,3.455,3.501,3.444,4123096,1634097104.0,1.65,-0.2,-0.007,1.35
2020-05-12,3.456,3.454,3.469,3.426,5866052,2310845680.0,1.24,-0.03,-0.001,1.92
2020-05-13,3.442,3.463,3.469,3.429,2783969,1096626960.0,1.16,0.26,0.009,0.91
2020-05-14,3.449,3.43,3.449,3.426,3001796,1178568304.0,0.66,-0.95,-0.033,0.98
2020-05-15,3.437,3.411,3.449,3.41,5435704,2129155232.0,1.14,-0.55,-0.019,1.78
2020-05-18,3.41,3.423,3.447,3.401,3020530,1184460544.0,1.35,0.35,0.012,0.99
2020-05-19,3.459,3.452,3.466,3.441,2781211,1096942160.0,0.73,0.85,0.029,0.91
2020-05-20,3.449,3.436,3.453,3.429,1975618,777073056.0,0.7,-0.46,-0.016,0.65
2020-05-21,3.442,3.41,3.449,3.408,2365234,926829392.0,1.19,-0.76,-0.026,0.78
2020-05-22,3.407,3.324,3.407,3.322,5328616,2048425728.0,2.49,-2.52,-0.086,1.75
2020-05-25,3.321,3.326,3.338,3.306,2505597,955690448.0,0.96,0.06,0.002,0.82
2020-05-26,3.343,3.372,3.375,3.343,4751108,1829472416.0,0.96,1.38,0.046,1.56
2020-05-27,3.372,3.354,3.373,3.342,2311996,889357456.0,0.92,-0.53,-0.018,0.76
2020-05-28,3.356,3.359,3.393,3.324,2840731,1093611520.0,2.06,0.15,0.005,0.93
2020-05-29,3.339,3.375,3.378,3.332,2509198,966708848.0,1.37,0.48,0.016,0.82
2020-06-01,3.407,3.477,3.485,3.404,3509289,1385589760.0,2.4,3.02,0.102,1.15
2020-06-02,3.477,3.488,3.498,3.469,1628382,647069168.0,0.83,0.32,0.011,0.53
2020-06-03,3.507,3.487,3.529,3.485,3657525,1461404416.0,1.26,-0.03,-0.001,1.2
2020-06-04,3.5,3.489,3.504,3.474,2813844,1119665728.0,0.86,0.06,0.002,0.92
2020-06-05,3.488,3.512,3.513,3.474,2013596,801832960.0,1.12,0.66,0.023,0.66
2020-06-08,3.529,3.531,3.556,3.521,2856037,1149881968.0,1.0,0.54,0.019,0.94
2020-06-09,3.533,3.558,3.559,3.522,2944925,1189397520.0,1.05,0.76,0.027,0.97
2020-06-10,3.554,3.549,3.555,3.536,3183572,1285096272.0,0.53,-0.25,-0.009,1.04
2020-06-11,3.542,3.512,3.559,3.493,3051933,1226496432.0,1.86,-1.04,-0.037,1.0
2020-06-12,3.471,3.522,3.532,3.451,3090733,1230613936.0,2.31,0.28,0.01,1.01
2020-06-15,3.491,3.465,3.518,3.464,2805261,1117257840.0,1.53,-1.62,-0.057,0.92
2020-06-16,3.504,3.527,3.528,3.5,2476953,992947040.0,0.81,1.79,0.062,0.81
2020-06-17,3.529,3.531,3.532,3.505,2790256,1118948768.0,0.77,0.11,0.004,0.92
2020-06-18,3.522,3.562,3.564,3.514,3430027,1385004400.0,1.42,0.88,0.031,1.12
2020-06-19,3.559,3.614,3.634,3.559,3695636,1514130384.0,2.11,1.46,0.052,1.21
2020-06-22,3.614,3.618,3.649,3.606,5212442,2146227184.0,1.19,0.11,0.004,1.71
2020-06-23,3.609,3.637,3.642,3.595,3981678,1638145520.0,1.3,0.53,0.019,1.31
2020-06-24,3.647,3.673,3.676,3.645,4579422,1899221456.0,0.85,0.99,0.036,1.5
2020-06-29,3.659,3.637,3.669,3.615,2126550,876863744.0,1.47,-0.98,-0.036,0.7
2020-06-30,3.657,3.687,3.701,3.655,5424685,2264019136.0,1.26,1.37,0.05,1.78
2020-07-01,3.696,3.781,3.785,3.692,5740641,2425293920.0,2.52,2.55,0.094,1.88
2020-07-02,3.779,3.879,3.884,3.772,5504378,2380221136.0,2.96,2.59,0.098,1.81
2020-07-03,3.895,3.966,3.973,3.878,5867687,2583513168.0,2.45,2.24,0.087,1.92
2020-07-06,4.036,4.293,4.308,4.017,9293175,4319345408.0,7.34,8.25,0.327,3.05
2020-07-07,4.33,4.245,4.359,4.233,10745019,5140703744.0,2.94,-1.12,-0.048,3.52
2020-07-08,4.243,4.307,4.347,4.217,9034869,4300342528.0,3.06,1.46,0.062,2.96
2020-07-09,4.305,4.381,4.393,4.269,6424342,3104867392.0,2.88,1.72,0.074,2.11
2020-07-10,4.347,4.294,4.366,4.272,5644168,2719824192.0,2.15,-1.99,-0.087,1.85
2020-07-13,4.291,4.394,4.436,4.286,8243783,4008141936.0,3.49,2.33,0.1,2.7
2020-07-14,4.386,4.351,4.408,4.274,7376414,3569719104.0,3.05,-0.98,-0.043,2.42
2020-07-15,4.369,4.293,4.404,4.274,6624029,3200591200.0,2.99,-1.33,-0.058,2.17
2020-07-16,4.299,4.065,4.337,4.059,12899181,6024139008.0,6.48,-5.31,-0.228,4.23
2020-07-17,4.079,4.114,4.163,4.05,9042924,4154619232.0,2.78,1.21,0.049,2.97
2020-07-20,4.156,4.236,4.249,4.094,7249762,3384863200.0,3.77,2.97,0.122,2.38
2020-07-21,4.258,4.248,4.273,4.22,4653507,2204859168.0,1.25,0.28,0.012,1.53
2020-07-22,4.241,4.301,4.365,4.237,7054372,3385495856.0,3.01,1.25,0.053,2.31
2020-07-23,4.251,4.275,4.298,4.171,4305771,2037385936.0,2.95,-0.6,-0.026,1.41
2020-07-24,4.235,4.063,4.251,4.036,6482820,3002698176.0,5.03,-4.96,-0.212,2.13
2020-07-27,4.092,4.091,4.125,4.046,3111014,1424772720.0,1.94,0.69,0.028,1.02
2020-07-28,4.124,4.126,4.15,4.096,3742573,1726997392.0,1.32,0.86,0.035,1.23
2020-07-29,4.114,4.258,4.262,4.108,4883854,2295204608.0,3.73,3.2,0.132,1.6
2020-07-30,4.259,4.223,4.266,4.218,2974744,1407409984.0,1.13,-0.82,-0.035,0.98
2020-07-31,4.219,4.259,4.318,4.181,5185247,2461206608.0,3.24,0.85,0.036,1.7
2020-08-03,4.299,4.334,4.338,4.281,4343933,2085189584.0,1.34,1.76,0.075,1.42
