净值日期,单位净值,日增长率
2008-06-19,1.0,0.0
2008-06-20,1.0001,0.01
2008-06-27,0.9999,-0.02
2008-06-30,0.9999,0.0
2008-07-04,1.0002,0.03
2008-07-11,1.0031,0.2899
2008-07-18,0.9961,-0.6978
2008-07-25,1.0054,0.9336
2008-08-01,0.9945,-1.0841
2008-08-08,0.9739,-2.0714
2008-08-15,0.9658,-0.8317
2008-08-22,0.9599,-0.6109
2008-08-29,0.9523,-0.7917
2008-09-05,0.9336,-1.9637
2008-09-12,0.9299,-0.3963
2008-09-18,0.9261,-0.4086
2008-09-19,0.9378,1.2634
2008-09-22,0.9425,0.5012
2008-09-23,0.9284,-1.496
2008-09-24,0.9294,0.1077
2008-09-25,0.9402,1.162
2008-09-26,0.9451,0.5212
2008-09-30,0.9451,0.0
2008-10-06,0.9305,-1.5448
2008-10-07,0.9354,0.5266
2008-10-08,0.9271,-0.8873
2008-10-09,0.9258,-0.1402
2008-10-10,0.916,-1.0585
2008-10-13,0.9266,1.1572
2008-10-14,0.9235,-0.3346
2008-10-15,0.9227,-0.0866
2008-10-16,0.9077,-1.6257
2008-10-17,0.9086,0.0992
2008-10-20,0.9159,0.8034
2008-10-21,0.916,0.0109
2008-10-22,0.912,-0.4367
2008-10-23,0.9115,-0.0548
2008-10-24,0.9054,-0.6692
2008-10-27,0.891,-1.5905
2008-10-28,0.8974,0.7183
2008-10-29,0.8918,-0.624
2008-10-30,0.897,0.5831
2008-10-31,0.8952,-0.2007
2008-11-03,0.8948,-0.0447
2008-11-04,0.8886,-0.6929
2008-11-05,0.8982,1.0804
2008-11-06,0.8939,-0.4787
2008-11-07,0.896,0.2349
2008-11-10,0.9133,1.9308
2008-11-11,0.9114,-0.208
2008-11-12,0.9121,0.0768
2008-11-13,0.93,1.9625
2008-11-14,0.9459,1.7097
2008-11-17,0.9612,1.6175
2008-11-18,0.9432,-1.8727
2008-11-19,0.9672,2.5445
2008-11-20,0.964,-0.3309
2008-11-21,0.9685,0.4668
2008-11-24,0.9515,-1.7553
2008-11-25,0.9505,-0.1051
2008-11-26,0.9537,0.3367
2008-11-27,0.9629,0.9647
2008-11-28,0.9629,0.0
2008-12-01,0.9763,1.3916
2008-12-02,0.9848,0.8706
2008-12-03,0.996,1.1373
2008-12-04,0.999,0.3012
2008-12-05,1.0104,1.1411
2008-12-08,1.0271,1.6528
2008-12-09,1.0113,-1.5383
2008-12-10,1.0313,1.9777
2008-12-11,1.0202,-1.0763
2008-12-12,0.9993,-2.0486
2008-12-15,1.0039,0.4603
2008-12-16,1.0149,1.0957
2008-12-17,1.0204,0.5419
2008-12-18,1.0308,1.0192
2008-12-19,1.0394,0.8343
2008-12-22,1.0327,-0.6446
2008-12-23,1.0067,-2.5177
2008-12-24,0.9979,-0.8741
2008-12-25,0.9956,-0.2305
2008-12-26,0.9931,-0.2511
2008-12-29,0.9925,-0.0604
2008-12-30,0.9946,0.2116
2008-12-31,0.9959,0.1307
2009-01-05,1.0095,1.3656
2009-01-06,1.0237,1.4066
2009-01-07,1.0235,-0.0195
2009-01-08,1.0087,-1.446
2009-01-09,1.0226,1.378
2009-01-12,1.0271,0.4401
2009-01-13,1.0035,-2.2977
2009-01-14,1.0293,2.571
2009-01-15,1.0291,-0.0194
2009-01-16,1.0283,-0.0777
2009-01-19,1.0307,0.2334
2009-01-20,1.0327,0.194
2009-01-21,1.0291,-0.3486
2009-01-22,1.043,1.3507
2009-01-23,1.0419,-0.1055
2009-02-02,1.0561,1.3629
2009-02-03,1.0785,2.121
2009-02-04,1.0913,1.1868
2009-02-05,1.0787,-1.1546
2009-02-06,1.1167,3.5228
2009-02-09,1.1468,2.6954
2009-02-10,1.1606,1.2033
2009-02-11,1.1634,0.2413
2009-02-12,1.1619,-0.1289
2009-02-13,1.1912,2.5217
2009-02-16,1.2096,1.5447
2009-02-17,1.174,-2.9431
2009-02-18,1.141,-2.8109
2009-02-19,1.1618,1.823
2009-02-20,1.1805,1.6096
2009-02-23,1.2017,1.7958
2009-02-24,1.1595,-3.5117
2009-02-25,1.153,-0.5606
2009-02-26,1.1079,-3.9115
2009-02-27,1.0903,-1.5886
2009-03-02,1.1043,1.2841
2009-03-03,1.1066,0.2083
2009-03-04,1.1443,3.4068
2009-03-05,1.1433,-0.0874
2009-03-06,1.1405,-0.2449
2009-03-09,1.1182,-1.9553
2009-03-10,1.1225,0.3845
2009-03-11,1.1179,-0.4098
2009-03-12,1.1117,-0.5546
2009-03-13,1.1091,-0.2339
2009-03-16,1.1166,0.6762
2009-03-17,1.1412,2.2031
2009-03-18,1.1458,0.4031
2009-03-19,1.1566,0.9426
2009-03-20,1.1569,0.0259
2009-03-23,1.1748,1.5472
2009-03-24,1.1772,0.2043
2009-03-25,1.1545,-1.9283
2009-03-26,1.1712,1.4465
2009-03-27,1.1839,1.0844
2009-03-30,1.1783,-0.473
2009-03-31,1.1905,1.0354
2009-04-01,1.2066,1.3524
2009-04-02,1.2212,1.21
2009-04-03,1.2166,-0.3767
2009-04-07,1.2169,0.0247
2009-04-08,1.1855,-2.5803
2009-04-09,1.2018,1.3749
2009-04-10,1.2452,3.6112
2009-04-13,1.2762,2.4896
2009-04-14,1.2421,0.4623
2009-04-15,1.2449,0.2254
2009-04-16,1.2467,0.1446
2009-04-17,1.2286,-1.4518
2009-04-20,1.2592,2.4906
2009-04-21,1.2578,-0.1112
2009-04-22,1.2018,-4.4522
2009-04-23,1.2196,1.4811
2009-04-24,1.2222,0.2132
2009-04-27,1.1884,-2.7655
2009-04-28,1.195,0.5554
2009-04-29,1.2187,1.9833
2009-04-30,1.2372,1.518
2009-05-04,1.2695,2.6107
2009-05-05,1.279,0.7483
2009-05-06,1.3035,1.9156
2009-05-07,1.2906,-0.9896
2009-05-08,1.2824,-0.6354
2009-05-11,1.2433,-3.049
2009-05-12,1.2665,1.866
2009-05-13,1.2704,0.3079
2009-05-14,1.2725,0.1653
2009-05-15,1.2868,1.1238
2009-05-18,1.2921,0.4119
2009-05-19,1.3038,0.9055
2009-05-20,1.2987,-0.3912
2009-05-21,1.2785,-1.5554
2009-05-22,1.2768,-0.133
2009-05-25,1.2839,0.5561
2009-05-26,1.2881,0.3271
2009-05-27,1.3007,0.9782
2009-06-01,1.3204,1.5146
2009-06-02,1.3206,0.0151
2009-06-03,1.3208,0.0151
2009-06-04,1.3145,-0.477
2009-06-05,1.3045,-0.7607
2009-06-08,1.2923,-0.9352
2009-06-09,1.2985,0.4798
2009-06-10,1.2984,-0.0077
2009-06-11,1.292,-0.4929
2009-06-12,1.2665,-1.9737
2009-06-15,1.2805,1.1054
2009-06-16,1.2776,-0.2265
2009-06-17,1.2918,1.1115
2009-06-18,1.3097,1.3857
2009-06-19,1.3073,-0.1832
2009-06-22,1.297,-0.7879
2009-06-23,1.2994,0.185
2009-06-24,1.3221,1.747
2009-06-25,1.3191,-0.2269
2009-06-26,1.3226,0.2653
2009-06-29,1.3445,1.6558
2009-06-30,1.3438,-0.0521
2009-07-01,1.3646,1.5478
2009-07-02,1.3821,1.2824
2009-07-03,1.4074,1.8305
2009-07-06,1.4176,0.7247
2009-07-07,1.4123,-0.3739
2009-07-08,1.4278,1.0975
2009-07-09,1.4455,1.2397
2009-07-10,1.4629,1.2037
2009-07-13,1.4691,0.4238
2009-07-14,1.4972,1.9127
2009-07-15,1.513,1.0553
2009-07-16,1.5119,-0.0727
2009-07-17,1.5216,0.6416
2009-07-20,1.5543,2.1491
2009-07-21,1.5269,-1.7629
2009-07-22,1.563,2.3643
2009-07-23,1.5759,0.8253
2009-07-24,1.5689,-0.4442
2009-07-27,1.5848,1.0134
2009-07-28,1.5811,-0.2335
2009-07-29,1.4906,-5.7239
2009-07-30,1.4989,0.5568
2009-07-31,1.5481,3.2824
2009-08-03,1.5766,1.841
2009-08-04,1.608,1.9916
2009-08-05,1.5905,-1.0883
2009-08-06,1.5664,-1.5152
2009-08-07,1.5127,-3.4282
2009-08-10,1.5151,0.1587
2009-08-11,1.5227,0.5016
2009-08-12,1.4641,-3.8484
2009-08-13,1.4778,0.9357
2009-08-14,1.4348,-2.9097
2009-08-17,1.338,-6.7466
2009-08-18,1.3555,1.3079
2009-08-19,1.3029,-3.8805
2009-08-20,1.3644,4.7202
2009-08-21,1.3972,2.404
2009-08-24,1.425,1.9897
2009-08-25,1.3925,-2.2807
2009-08-26,1.4181,1.8384
2009-08-27,1.4086,-0.6699
2009-08-28,1.3672,-2.9391
2009-08-31,1.2892,-5.7051
2009-09-01,1.2809,-0.6438
2009-09-02,1.2967,1.2335
2009-09-03,1.3609,4.951
2009-09-04,1.3769,1.1757
2009-09-07,1.3836,0.4866
2009-09-08,1.4208,2.6886
2009-09-09,1.4344,0.9572
2009-09-10,1.422,-0.8645
2009-09-11,1.4475,1.7932
2009-09-14,1.4729,1.7547
2009-09-15,1.4778,0.3327
