日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率,股票代码
2023-01-03,0.599,0.6,0.602,0.596,9664957,578146000.94,1.0,0.0,0.0,4.3,159941
2023-01-04,0.597,0.597,0.6,0.595,9410315,561711681.5,0.83,-0.5,-0.003,4.19,159941
2023-01-05,0.598,0.599,0.6,0.596,8946662,534662622.484,0.67,0.34,0.002,3.98,159941
2023-01-06,0.594,0.595,0.598,0.594,7994690,476209186.424,0.67,-0.67,-0.004,3.56,159941
2023-01-09,0.601,0.604,0.605,0.599,7407285,446028699.446,1.01,1.51,0.009,3.3,159941
2023-01-10,0.603,0.602,0.604,0.601,4588891,276493029.2,0.5,-0.33,-0.002,2.04,159941
2023-01-11,0.606,0.607,0.609,0.604,6110130,370725636.115,0.83,0.83,0.005,2.72,159941
2023-01-12,0.615,0.618,0.618,0.614,7003360,431453732.694,0.66,1.81,0.011,3.12,159941
2023-01-13,0.618,0.613,0.618,0.612,6518298,400554787.3,0.97,-0.81,-0.005,2.9,159941
2023-01-16,0.615,0.614,0.616,0.612,7661541,470158363.368,0.65,0.16,0.001,3.41,159941
2023-01-17,0.614,0.616,0.617,0.613,4854411,298555376.138,0.65,0.33,0.002,2.16,159941
2023-01-18,0.616,0.619,0.622,0.614,7306526,451439475.0,1.3,0.49,0.003,3.25,159941
2023-01-19,0.612,0.61,0.613,0.61,5317694,325308954.8,0.48,-1.45,-0.009,2.37,159941
2023-01-20,0.608,0.615,0.615,0.606,6061381,369578435.9,1.48,0.82,0.005,2.7,159941
2023-01-30,0.635,0.635,0.639,0.634,11213218,714230896.876,0.81,3.25,0.02,4.99,159941
2023-01-31,0.627,0.624,0.63,0.624,4942154,309982828.45,0.94,-1.73,-0.011,2.2,159941
2023-02-01,0.632,0.634,0.636,0.631,6206137,392983939.264,0.8,1.6,0.01,2.76,159941
2023-02-02,0.647,0.649,0.651,0.646,9740602,631333544.495,0.79,2.37,0.015,4.34,159941
2023-02-03,0.658,0.656,0.659,0.655,9451204,620967257.496,0.62,1.08,0.007,4.21,159941
2023-02-06,0.657,0.654,0.658,0.652,8426244,552116125.654,0.91,-0.3,-0.002,3.75,159941
2023-02-07,0.655,0.655,0.656,0.654,5382482,352595247.51,0.31,0.15,0.001,2.4,159941
2023-02-08,0.665,0.666,0.666,0.664,6538549,434748027.67,0.31,1.68,0.011,2.91,159941
2023-02-09,0.656,0.658,0.659,0.656,8532043,560946092.1,0.45,-1.2,-0.008,3.8,159941
2023-02-10,0.651,0.648,0.651,0.647,5951442,385997496.23,0.61,-1.52,-0.01,2.65,159941
2023-02-13,0.645,0.646,0.646,0.643,5031379,324493147.74,0.46,-0.31,-0.002,2.24,159941
2023-02-14,0.655,0.655,0.656,0.653,8602302,563323329.024,0.46,1.39,0.009,3.83,159941
2023-02-15,0.659,0.657,0.659,0.657,5647848,371567650.02,0.31,0.31,0.002,2.52,159941
2023-02-16,0.669,0.671,0.672,0.668,6382947,427980484.82,0.61,2.13,0.014,2.84,159941
2023-02-17,0.657,0.654,0.657,0.653,5793068,379524828.582,0.6,-2.53,-0.017,2.58,159941
2023-02-20,0.652,0.654,0.654,0.651,7290570,475811034.9,0.46,0.0,0.0,3.25,159941
2023-02-21,0.651,0.652,0.652,0.65,6559093,426926716.8,0.31,-0.31,-0.002,2.92,159941
2023-02-22,0.641,0.641,0.643,0.64,6714614,430533340.7,0.46,-1.69,-0.011,2.99,159941
2023-02-23,0.644,0.645,0.646,0.644,6043475,389695382.361,0.31,0.62,0.004,2.69,159941
2023-02-24,0.647,0.647,0.648,0.646,4411839,285393525.66,0.31,0.31,0.002,1.97,159941
2023-02-27,0.642,0.642,0.644,0.641,3614773,232175719.0,0.46,-0.77,-0.005,1.61,159941
2023-02-28,0.646,0.644,0.647,0.644,3802511,245353643.5,0.47,0.31,0.002,1.69,159941
2023-03-01,0.64,0.642,0.643,0.639,8624648,552681524.134,0.62,-0.31,-0.002,3.84,159941
2023-03-02,0.636,0.631,0.637,0.63,8741228,552950497.124,1.09,-1.71,-0.011,3.89,159941
2023-03-03,0.638,0.639,0.639,0.636,7295945,465220264.136,0.48,1.27,0.008,3.25,159941
2023-03-06,0.651,0.655,0.656,0.65,12112336,790053906.643,0.94,2.5,0.016,5.39,159941
2023-03-07,0.657,0.656,0.658,0.656,5164246,339163309.3,0.31,0.15,0.001,2.3,159941
2023-03-08,0.651,0.65,0.652,0.649,5652147,367539522.4,0.46,-0.91,-0.006,2.52,159941
2023-03-09,0.652,0.653,0.654,0.651,2999718,195711646.5,0.46,0.46,0.003,1.34,159941
2023-03-10,0.639,0.638,0.641,0.637,6687513,427484849.8,0.61,-2.3,-0.015,2.98,159941
2023-03-13,0.634,0.64,0.641,0.634,13483875,859228488.5,1.1,0.31,0.002,6.01,159941
2023-03-14,0.635,0.631,0.636,0.629,10091793,638240660.8,1.09,-1.41,-0.009,4.49,159941
2023-03-15,0.645,0.646,0.647,0.644,7840056,505951755.11,0.48,2.38,0.015,3.49,159941
2023-03-16,0.65,0.649,0.652,0.648,5144149,334643821.5,0.62,0.46,0.003,2.29,159941
2023-03-17,0.665,0.666,0.666,0.663,5703737,379086900.845,0.46,2.62,0.017,2.54,159941
2023-03-20,0.664,0.657,0.665,0.656,9294932,615821488.0,1.35,-1.35,-0.009,4.14,159941
2023-03-21,0.663,0.663,0.664,0.662,3582204,237521070.132,0.3,0.91,0.006,1.6,159941
2023-03-22,0.672,0.675,0.676,0.672,7215844,486016861.124,0.6,1.81,0.012,3.21,159941
2023-03-23,0.664,0.667,0.667,0.664,10224677,680278730.035,0.44,-1.19,-0.008,4.55,159941
2023-03-24,0.67,0.672,0.674,0.667,8739738,586169943.9,1.05,0.75,0.005,3.89,159941
2023-03-27,0.676,0.68,0.681,0.676,5542595,375980264.988,0.74,1.19,0.008,2.47,159941
2023-03-28,0.674,0.675,0.676,0.672,4574563,308241027.605,0.59,-0.74,-0.005,2.04,159941
2023-03-29,0.673,0.675,0.676,0.673,2780772,187543214.3,0.44,0.0,0.0,1.24,159941
2023-03-30,0.683,0.681,0.684,0.68,6700250,456841158.9,0.59,0.89,0.006,2.98,159941
2023-03-31,0.688,0.684,0.688,0.684,5549392,381030985.2,0.59,0.44,0.003,2.47,159941
2023-04-03,0.693,0.693,0.695,0.693,4073406,282647107.532,0.29,1.32,0.009,1.81,159941
2023-04-04,0.695,0.696,0.696,0.693,4467815,310183550.1,0.43,0.43,0.003,1.99,159941
2023-04-06,0.684,0.683,0.685,0.682,6804160,464911405.925,0.43,-1.87,-0.013,3.03,159941
2023-04-07,0.69,0.689,0.69,0.688,3221721,222015652.246,0.29,0.88,0.006,1.43,159941
2023-04-10,0.688,0.686,0.689,0.686,4474731,307644641.588,0.44,-0.44,-0.003,1.99,159941
2023-04-11,0.69,0.689,0.69,0.688,3016336,207847899.484,0.29,0.44,0.003,1.34,159941
2023-04-12,0.686,0.685,0.686,0.684,2706223,185343504.1,0.29,-0.58,-0.004,1.21,159941
2023-04-13,0.678,0.68,0.681,0.677,3864364,262251114.782,0.58,-0.73,-0.005,1.72,159941
2023-04-14,0.69,0.686,0.69,0.686,3045666,209322011.72,0.59,0.88,0.006,1.36,159941
2023-04-17,0.689,0.689,0.69,0.688,3871217,266741263.93,0.29,0.44,0.003,1.72,159941
2023-04-18,0.688,0.688,0.69,0.687,2404090,165505385.064,0.44,-0.15,-0.001,1.07,159941
2023-04-19,0.689,0.687,0.689,0.686,2646546,182044422.1,0.44,-0.15,-0.001,1.18,159941
2023-04-20,0.688,0.687,0.689,0.686,3477224,239113016.6,0.44,0.0,0.0,1.55,159941
2023-04-21,0.685,0.684,0.686,0.684,2840403,194557014.13,0.29,-0.44,-0.003,1.27,159941
