日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2024-01-02,3.222,3.173,3.222,3.171,9429306,3269676679.0,1.58,-1.43,-0.046,3.09
2024-01-03,3.166,3.163,3.18,3.148,10617503,3654757871.0,1.01,-0.32,-0.01,3.48
2024-01-04,3.162,3.133,3.162,3.107,16661525,5674869534.0,1.74,-0.95,-0.03,5.46
2024-01-05,3.124,3.116,3.159,3.097,16996697,5796964474.0,1.98,-0.54,-0.017,5.57
2024-01-08,3.109,3.069,3.123,3.066,17304244,5816612453.0,1.83,-1.51,-0.047,5.67
2024-01-09,3.071,3.077,3.091,3.059,11312178,3794394933.0,1.04,0.26,0.008,3.71
2024-01-10,3.07,3.061,3.101,3.052,9582541,3211385597.0,1.59,-0.52,-0.016,3.14
2024-01-11,3.061,3.08,3.1,3.054,12662372,4254642486.0,1.5,0.62,0.019,4.15
2024-01-12,3.071,3.069,3.097,3.066,8413273,2826380699.0,1.01,-0.36,-0.011,2.76
2024-01-15,3.05,3.065,3.095,3.044,9055706,3030920178.0,1.66,-0.13,-0.004,2.97
2024-01-16,3.06,3.087,3.088,3.046,17689524,5925099758.0,1.37,0.72,0.022,5.8
2024-01-17,3.077,3.012,3.077,3.01,12862152,4278633103.0,2.17,-2.43,-0.075,4.22
2024-01-18,3.007,3.057,3.064,2.955,47543511,15257021704.0,3.62,1.49,0.045,15.59
2024-01-19,3.038,3.064,3.074,3.031,36944521,12079016731.0,1.41,0.23,0.007,12.12
2024-01-22,3.054,2.995,3.064,2.982,46470565,15113081733.0,2.68,-2.25,-0.069,15.24
2024-01-23,2.988,3.017,3.036,2.975,13924804,4481443569.0,2.04,0.73,0.022,4.57
2024-01-24,3.028,3.068,3.069,2.977,22789369,7373901841.0,3.05,1.69,0.051,7.47
2024-01-25,3.059,3.124,3.129,3.05,16487014,5449682868.0,2.57,1.83,0.056,5.41
2024-01-26,3.117,3.118,3.139,3.101,21833051,7273329362.0,1.22,-0.19,-0.006,7.16
2024-01-29,3.12,3.088,3.134,3.087,10113930,3358335864.0,1.51,-0.96,-0.03,3.32
2024-01-30,3.07,3.032,3.087,3.03,18892623,6186331951.0,1.85,-1.81,-0.056,6.2
2024-01-31,3.022,3.011,3.038,2.986,19090997,6157214385.0,1.72,-0.69,-0.021,6.26
2024-02-01,2.989,3.007,3.037,2.979,18909976,6091552415.0,1.93,-0.13,-0.004,6.2
2024-02-02,3.007,2.977,3.021,2.891,25386942,8074716502.0,4.32,-1.0,-0.03,8.33
2024-02-05,2.947,2.997,3.023,2.9,26601787,8439536816.0,4.13,0.67,0.02,8.72
2024-02-06,2.974,3.1,3.103,2.971,20089182,6562526022.0,4.4,3.44,0.103,6.59
2024-02-07,3.099,3.129,3.131,3.076,34658147,11514587248.0,1.77,0.94,0.029,11.37
2024-02-08,3.141,3.151,3.155,3.122,23942620,8019665628.0,1.05,0.7,0.022,7.85
2024-02-19,3.163,3.178,3.181,3.144,14861876,5016056179.0,1.17,0.86,0.027,4.87
2024-02-20,3.172,3.19,3.194,3.161,9801668,3322077448.0,1.04,0.38,0.012,3.21
2024-02-21,3.177,3.238,3.285,3.171,16009581,5528334980.0,3.57,1.5,0.048,5.25
2024-02-22,3.236,3.264,3.266,3.23,9446351,3270537309.0,1.11,0.8,0.026,3.1
2024-02-23,3.264,3.267,3.286,3.253,10908774,3794512188.0,1.01,0.09,0.003,3.58
2024-02-26,3.265,3.232,3.271,3.226,11172368,3865703825.0,1.38,-1.07,-0.035,3.66
2024-02-27,3.224,3.273,3.275,3.222,10468849,3620336718.0,1.64,1.27,0.041,3.43
2024-02-28,3.276,3.237,3.303,3.235,28549979,9926190298.0,2.08,-1.1,-0.036,9.36
2024-02-29,3.229,3.292,3.296,3.226,14835850,5163736038.0,2.16,1.7,0.055,4.87
2024-03-01,3.29,3.319,3.329,3.284,12256393,4311480716.0,1.37,0.82,0.027,4.02
