日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率,股票代码
2021-01-04,0.649,0.645,0.649,0.643,455432,117553542.0,0.92,-0.77,-0.005,0.2,159941
2021-01-05,0.637,0.635,0.638,0.633,280779,71339934.0,0.78,-1.55,-0.01,0.13,159941
2021-01-06,0.637,0.632,0.637,0.631,300724,76223388.0,0.94,-0.47,-0.003,0.13,159941
2021-01-07,0.632,0.634,0.635,0.632,303033,76737926.0,0.47,0.32,0.002,0.13,159941
2021-01-08,0.645,0.647,0.647,0.643,388928,100438587.0,0.63,2.05,0.013,0.17,159941
2021-01-11,0.651,0.65,0.652,0.649,253507,66039767.0,0.46,0.46,0.003,0.11,159941
2021-01-12,0.646,0.646,0.648,0.645,395721,102265991.0,0.46,-0.62,-0.004,0.18,159941
2021-01-13,0.643,0.643,0.644,0.643,110928,28535784.0,0.15,-0.46,-0.003,0.05,159941
2021-01-14,0.645,0.647,0.648,0.645,232187,60099418.0,0.47,0.62,0.004,0.1,159941
2021-01-15,0.643,0.642,0.644,0.641,133535,34315186.0,0.46,-0.77,-0.005,0.06,159941
2021-01-18,0.638,0.639,0.64,0.636,329889,84163782.0,0.62,-0.47,-0.003,0.15,159941
2021-01-19,0.643,0.646,0.649,0.642,249894,64451623.0,1.1,1.1,0.007,0.11,159941
2021-01-20,0.65,0.651,0.652,0.649,188588,49028825.0,0.46,0.77,0.005,0.08,159941
2021-01-21,0.664,0.668,0.668,0.663,224805,59885052.0,0.77,2.61,0.017,0.1,159941
2021-01-22,0.668,0.668,0.669,0.666,324129,86518653.0,0.45,0.0,0.0,0.14,159941
2021-01-25,0.672,0.675,0.676,0.672,96324,25986895.0,0.6,1.05,0.007,0.04,159941
2021-01-26,0.668,0.671,0.674,0.668,131927,35433584.0,0.89,-0.59,-0.004,0.06,159941
2021-01-27,0.676,0.68,0.681,0.676,220723,59952813.0,0.75,1.34,0.009,0.1,159941
2021-01-28,0.66,0.655,0.663,0.654,237601,62548430.0,1.32,-3.68,-0.025,0.11,159941
2021-01-29,0.658,0.654,0.66,0.651,275458,72234746.0,1.37,-0.15,-0.001,0.12,159941
2021-02-01,0.645,0.652,0.652,0.642,198690,51400791.0,1.53,-0.31,-0.002,0.09,159941
2021-02-02,0.663,0.669,0.669,0.663,188668,50317079.0,0.92,2.61,0.017,0.08,159941
2021-02-03,0.676,0.678,0.678,0.674,130238,35214318.0,0.6,1.35,0.009,0.06,159941
2021-02-04,0.674,0.672,0.676,0.668,113976,30650643.0,1.18,-0.88,-0.006,0.05,159941
2021-02-05,0.679,0.681,0.682,0.676,163306,44431454.0,0.89,1.34,0.009,0.07,159941
2021-02-08,0.684,0.685,0.687,0.684,94411,25859845.0,0.44,0.59,0.004,0.04,159941
2021-02-09,0.685,0.684,0.688,0.684,121014,33141870.0,0.58,-0.15,-0.001,0.05,159941
2021-02-10,0.685,0.687,0.688,0.683,193754,53094453.0,0.73,0.44,0.003,0.09,159941
2021-02-18,0.685,0.683,0.687,0.654,149144,40725637.0,4.8,-0.58,-0.004,0.07,159941
2021-02-19,0.678,0.682,0.682,0.677,89653,24341370.0,0.73,-0.15,-0.001,0.04,159941
2021-02-22,0.682,0.675,0.682,0.673,92759,25110856.0,1.32,-1.03,-0.007,0.04,159941
2021-02-23,0.662,0.666,0.669,0.659,99032,26309965.0,1.48,-1.33,-0.009,0.04,159941
2021-02-24,0.663,0.653,0.663,0.65,174672,45928852.0,1.95,-1.95,-0.013,0.08,159941
